2021-07-04 15:07:378 INFO  BuyPage :34 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 15:07:628 INFO  BuyPage :40 - Clicking on searchcars : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //a[contains(text(),'Search Cars')]] tosearchcars field : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 15:07:663 INFO  BuyPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 15:07:30 INFO  BuyPage :51 - Selecting Make : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //select[@id='makes']] to make field : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //select[@id='makes']]
2021-07-04 15:07:307 INFO  BuyPage :56 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //select[@id='models']] to model field : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //select[@id='models']]
2021-07-04 15:07:609 INFO  BuyPage :61 - Selecting location : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //select[@id='locations']] to location field : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //select[@id='locations']]
2021-07-04 23:07:147 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-04 23:07:610 INFO  BuyPage :34 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (4d5c052e09488e9ee7184e2d4411c391)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (4d5c052e09488e9ee7184e2d4411c391)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 23:07:614 INFO  BuyPage :40 - Clicking on searchcars : [[ChromeDriver: chrome on WINDOWS (4d5c052e09488e9ee7184e2d4411c391)] -> xpath: //a[contains(text(),'Search Cars')]] tosearchcars field : [[ChromeDriver: chrome on WINDOWS (4d5c052e09488e9ee7184e2d4411c391)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 23:07:665 INFO  BuyPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4d5c052e09488e9ee7184e2d4411c391)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 23:07:107 INFO  BuyPage :51 - Selecting Make : [[ChromeDriver: chrome on WINDOWS (4d5c052e09488e9ee7184e2d4411c391)] -> xpath: //select[@id='makes']] to make field : [[ChromeDriver: chrome on WINDOWS (4d5c052e09488e9ee7184e2d4411c391)] -> xpath: //select[@id='makes']]
2021-07-04 23:07:845 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 00:07:906 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 00:07:628 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 00:07:392 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 00:07:983 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 00:07:824 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 00:07:722 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:338 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:462 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:196 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:653 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:387 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:840 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:407 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:20 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:532 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:171 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:233 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:370 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:773 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:418 INFO  BuyPage :34 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (f4d532887255344a7067252df74caf8a)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (f4d532887255344a7067252df74caf8a)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-05 15:07:137 INFO  BuyPage :40 - Clicking on searchcars : [[ChromeDriver: chrome on WINDOWS (f4d532887255344a7067252df74caf8a)] -> xpath: //a[contains(text(),'Search Cars')]] tosearchcars field : [[ChromeDriver: chrome on WINDOWS (f4d532887255344a7067252df74caf8a)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-05 15:07:186 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:531 INFO  HomePage :22 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (081e86e74e1c6f59a6f57a0814faf6eb)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (081e86e74e1c6f59a6f57a0814faf6eb)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-05 15:07:108 INFO  HomePage :28 - Clicking on searchcars : [[ChromeDriver: chrome on WINDOWS (081e86e74e1c6f59a6f57a0814faf6eb)] -> xpath: //a[contains(text(),'Search Cars')]] tosearchcars field : [[ChromeDriver: chrome on WINDOWS (081e86e74e1c6f59a6f57a0814faf6eb)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-05 15:07:141 INFO  HomePage :33 - Getting text from : [[ChromeDriver: chrome on WINDOWS (081e86e74e1c6f59a6f57a0814faf6eb)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-05 15:07:333 INFO  BuyPage :30 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (081e86e74e1c6f59a6f57a0814faf6eb)] -> xpath: //select[@id='makes']]
2021-07-05 16:07:111 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 16:07:83 INFO  HomePage :22 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (a5293f769f774c73efae253a3b717835)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (a5293f769f774c73efae253a3b717835)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-05 16:07:277 INFO  HomePage :28 - Clicking on searchcars : [[ChromeDriver: chrome on WINDOWS (a5293f769f774c73efae253a3b717835)] -> xpath: //a[contains(text(),'Search Cars')]] tosearchcars field : [[ChromeDriver: chrome on WINDOWS (a5293f769f774c73efae253a3b717835)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-05 16:07:311 INFO  HomePage :33 - Getting text from : [[ChromeDriver: chrome on WINDOWS (a5293f769f774c73efae253a3b717835)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-05 16:07:531 INFO  BuyPage :30 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (a5293f769f774c73efae253a3b717835)] -> xpath: //select[@id='makes']]
2021-07-05 16:07:97 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 16:07:740 INFO  HomePage :22 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (02135699221aa2dd8787c38e67c17500)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (02135699221aa2dd8787c38e67c17500)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-05 16:07:924 INFO  HomePage :28 - Clicking on searchcars : [[ChromeDriver: chrome on WINDOWS (02135699221aa2dd8787c38e67c17500)] -> xpath: //a[contains(text(),'Search Cars')]] tosearchcars field : [[ChromeDriver: chrome on WINDOWS (02135699221aa2dd8787c38e67c17500)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-05 16:07:968 INFO  HomePage :33 - Getting text from : [[ChromeDriver: chrome on WINDOWS (02135699221aa2dd8787c38e67c17500)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-05 16:07:235 INFO  BuyPage :30 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (02135699221aa2dd8787c38e67c17500)] -> xpath: //select[@id='makes']]
2021-07-05 16:07:417 INFO  BuyPage :35 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (02135699221aa2dd8787c38e67c17500)] -> xpath: //select[@id='models']]
2021-07-05 16:07:590 INFO  BuyPage :40 - Selecting location : [[ChromeDriver: chrome on WINDOWS (02135699221aa2dd8787c38e67c17500)] -> xpath: //select[@id='locations']]
2021-07-05 16:07:924 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 16:07:04 INFO  HomePage :22 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (19ad1b61348d496442116bf7bb4e070a)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (19ad1b61348d496442116bf7bb4e070a)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-05 16:07:268 INFO  HomePage :28 - Clicking on searchcars : [[ChromeDriver: chrome on WINDOWS (19ad1b61348d496442116bf7bb4e070a)] -> xpath: //a[contains(text(),'Search Cars')]] tosearchcars field : [[ChromeDriver: chrome on WINDOWS (19ad1b61348d496442116bf7bb4e070a)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-05 16:07:315 INFO  HomePage :33 - Getting text from : [[ChromeDriver: chrome on WINDOWS (19ad1b61348d496442116bf7bb4e070a)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-05 16:07:593 INFO  BuyPage :30 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (19ad1b61348d496442116bf7bb4e070a)] -> xpath: //select[@id='makes']]
2021-07-05 16:07:808 INFO  BuyPage :35 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (19ad1b61348d496442116bf7bb4e070a)] -> xpath: //select[@id='models']]
2021-07-05 16:07:00 INFO  BuyPage :40 - Selecting location : [[ChromeDriver: chrome on WINDOWS (19ad1b61348d496442116bf7bb4e070a)] -> xpath: //select[@id='locations']]
2021-07-05 16:07:606 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 16:07:95 INFO  HomePage :22 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (80e53a12a49171888136648278b24339)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (80e53a12a49171888136648278b24339)] -> xpath: //a[contains(text(),'buy + sell')]]
